user_id,operator_id,in_attempts,in_missed,wait_sum_all,wait_sum_answered,out_count,total_calls,internal_calls,answered_in,in_missed_rate,asa,avg_wait_in_all,internal_share,outbound_enabled
166658,891166,0,0,0,0,275,275,0,0,,,,0.0,True
166658,891170,0,0,0,0,219,219,0,0,,,,0.0,True
166658,955436,1,0,23,23,0,1,0,1,0.0,23.0,23.0,0.0,False
166660,887802,20,0,258,258,125,145,1,20,0.0,12.9,12.9,0.006896551724137931,True
166660,932460,29,1,489,471,0,29,0,28,0.034482758620689655,16.821428571428573,16.862068965517242,0.0,False
166666,889640,2,0,27,27,0,2,0,2,0.0,13.5,13.5,0.0,False
166669,888406,9,1,255,238,6,15,0,8,0.1111111111111111,29.75,28.333333333333332,0.0,True
166671,888520,6,0,94,94,0,6,0,6,0.0,15.666666666666666,15.666666666666666,0.0,False
166677,890618,78,1,89,88,279,357,0,77,0.01282051282051282,1.1428571428571428,1.141025641025641,0.0,True
166678,888868,23,1,458,443,54,77,18,22,0.043478260869565216,20.136363636363637,19.91304347826087,0.23376623376623376,True
166678,900892,358,3,2445,2431,1023,1381,39,355,0.008379888268156424,6.847887323943662,6.829608938547486,0.028240405503258507,True
166678,900894,114,1,1359,1347,228,342,10,113,0.008771929824561403,11.920353982300885,11.921052631578947,0.029239766081871343,True
166678,925808,11,0,209,209,0,11,2,11,0.0,19.0,19.0,0.18181818181818182,False
166678,934608,10,0,135,135,0,10,0,10,0.0,13.5,13.5,0.0,False
166678,942214,3,0,30,30,0,3,2,3,0.0,10.0,10.0,0.6666666666666666,False
166680,891744,5,0,107,107,9,14,0,5,0.0,21.4,21.4,0.0,True
166680,891746,0,0,0,0,37,37,0,0,,,,0.0,True
166680,908984,0,0,0,0,13,13,0,0,,,,0.0,True
166680,915614,2,0,56,56,76,78,0,2,0.0,28.0,28.0,0.0,True
166680,916596,0,0,0,0,30,30,0,0,,,,0.0,True
166680,917234,5,0,69,69,1220,1225,2,5,0.0,13.8,13.8,0.0016326530612244899,True
166680,919418,0,0,0,0,2,2,0,0,,,,0.0,True
166680,932050,0,0,0,0,145,145,0,0,,,,0.0,True
166680,932088,0,0,0,0,12,12,0,0,,,,0.0,True
166680,932498,1,0,11,11,341,342,0,1,0.0,11.0,11.0,0.0,True
166680,932500,9,0,159,159,1189,1198,0,9,0.0,17.666666666666668,17.666666666666668,0.0,True
166680,932502,5,0,81,81,756,761,0,5,0.0,16.2,16.2,0.0,True
166680,941628,1,0,19,19,147,148,0,1,0.0,19.0,19.0,0.0,True
166680,943050,0,0,0,0,85,85,0,0,,,,0.0,True
166680,950444,0,0,0,0,95,95,1,0,,,,0.010526315789473684,True
166680,954642,0,0,0,0,417,417,0,0,,,,0.0,True
166680,960294,1,0,36,36,296,297,0,1,0.0,36.0,36.0,0.0,True
166680,960296,2,0,126,126,201,203,0,2,0.0,63.0,63.0,0.0,True
166680,972408,0,0,0,0,8,8,0,0,,,,0.0,True
166680,972410,0,0,0,0,77,77,0,0,,,,0.0,True
166680,972412,1,0,25,25,60,61,0,1,0.0,25.0,25.0,0.0,True
166688,890226,4,0,90,90,3,7,0,4,0.0,22.5,22.5,0.0,True
166688,890228,6,1,104,67,103,109,3,5,0.16666666666666666,13.4,17.333333333333332,0.027522935779816515,True
166688,965328,0,0,0,0,28,28,1,0,,,,0.03571428571428571,True
166691,889410,464,0,2932,2932,1104,1568,1,464,0.0,6.318965517241379,6.318965517241379,0.0006377551020408163,True
166691,901734,30,0,426,426,0,30,0,30,0.0,14.2,14.2,0.0,False
166692,898892,12,0,199,199,90,102,0,12,0.0,16.583333333333332,16.583333333333332,0.0,True
166697,891646,8,0,164,164,0,8,0,8,0.0,20.5,20.5,0.0,False
166708,899082,713,1,14577,14553,1659,2372,1,712,0.001402524544179523,20.439606741573034,20.444600280504908,0.00042158516020236085,True
166711,891250,0,0,0,0,2,2,0,0,,,,0.0,True
166711,891252,0,0,0,0,98,98,0,0,,,,0.0,True
166711,891254,2,0,52,52,0,2,0,2,0.0,26.0,26.0,0.0,False
166711,891970,0,0,0,0,21,21,0,0,,,,0.0,True
166713,891908,40,0,411,411,11,51,2,40,0.0,10.275,10.275,0.0392156862745098,True
166713,891918,7,0,223,223,1,8,0,7,0.0,31.857142857142858,31.857142857142858,0.0,True
166717,891988,441,0,4079,4079,503,944,0,441,0.0,9.249433106575964,9.249433106575964,0.0,True
166725,889754,511,2,4074,4057,1342,1853,1,509,0.003913894324853229,7.970530451866405,7.972602739726027,0.0005396654074473826,True
166726,903390,9,0,142,142,0,9,0,9,0.0,15.777777777777779,15.777777777777779,0.0,False
166727,895170,11,0,161,161,0,11,0,11,0.0,14.636363636363637,14.636363636363637,0.0,False
166732,894224,17,1,158,153,33,50,43,16,0.058823529411764705,9.5625,9.294117647058824,0.86,True
166732,894226,0,0,0,0,25,25,20,0,,,,0.8,True
166732,894230,6,1,95,91,15,21,20,5,0.16666666666666666,18.2,15.833333333333334,0.9523809523809523,True
166732,894232,5,1,56,52,16,21,21,4,0.2,13.0,11.2,1.0,True
166732,909624,3,0,101,101,0,3,2,3,0.0,33.666666666666664,33.666666666666664,0.6666666666666666,False
166774,891824,12,0,195,195,34,46,0,12,0.0,16.25,16.25,0.0,True
166774,891976,0,0,0,0,2,2,0,0,,,,0.0,True
166774,894934,0,0,0,0,20,20,0,0,,,,0.0,True
166774,895266,3,0,37,37,1,4,0,3,0.0,12.333333333333334,12.333333333333334,0.0,True
166782,893804,2632,12,13502,13432,3938,6570,48,2620,0.004559270516717325,5.126717557251909,5.129939209726444,0.0073059360730593605,True
166782,894120,24,1,493,457,0,24,0,23,0.041666666666666664,19.869565217391305,20.541666666666668,0.0,False
166782,899250,309,5,5019,4969,1670,1979,2,304,0.016181229773462782,16.345394736842106,16.24271844660194,0.001010611419909045,True
166782,900180,17,0,139,139,1887,1904,42,17,0.0,8.176470588235293,8.176470588235293,0.022058823529411766,True
166782,919994,21,0,893,893,0,21,0,21,0.0,42.523809523809526,42.523809523809526,0.0,False
166800,892530,11,0,362,362,10,21,1,11,0.0,32.90909090909091,32.90909090909091,0.047619047619047616,True
166800,892532,74,0,2166,2166,102,176,1,74,0.0,29.27027027027027,29.27027027027027,0.005681818181818182,True
166800,892534,35,0,1165,1165,11,46,0,35,0.0,33.285714285714285,33.285714285714285,0.0,True
166800,892536,17,0,617,617,17,34,0,17,0.0,36.294117647058826,36.294117647058826,0.0,True
166800,892538,12,0,367,367,123,135,0,12,0.0,30.583333333333332,30.583333333333332,0.0,True
166803,891946,17,0,344,344,35,52,4,17,0.0,20.235294117647058,20.235294117647058,0.07692307692307693,True
166803,891948,1,0,3,3,0,1,0,1,0.0,3.0,3.0,0.0,False
166803,893172,43,0,995,995,3,46,3,43,0.0,23.13953488372093,23.13953488372093,0.06521739130434782,True
166812,900594,35,0,375,375,215,250,0,35,0.0,10.714285714285714,10.714285714285714,0.0,True
166813,900614,26,0,268,268,40,66,0,26,0.0,10.307692307692308,10.307692307692308,0.0,True
166813,954318,1,0,4,4,1,2,0,1,0.0,4.0,4.0,0.0,True
166813,954616,7,0,46,46,0,7,0,7,0.0,6.571428571428571,6.571428571428571,0.0,False
166813,955820,0,0,0,0,9,9,0,0,,,,0.0,True
166833,903254,262,0,4432,4432,1583,1845,1,262,0.0,16.916030534351144,16.916030534351144,0.0005420054200542005,True
166836,901350,111,0,2762,2762,0,111,0,111,0.0,24.882882882882882,24.882882882882882,0.0,False
166837,910038,2,0,30,30,0,2,0,2,0.0,15.0,15.0,0.0,False
166837,910044,19,0,282,282,0,19,0,19,0.0,14.842105263157896,14.842105263157896,0.0,False
166837,910226,8,2,132,106,0,8,0,6,0.25,17.666666666666668,16.5,0.0,False
166837,913886,2,1,27,16,0,2,0,1,0.5,16.0,13.5,0.0,False
166837,919896,8,2,109,77,0,8,0,6,0.25,12.833333333333334,13.625,0.0,False
166837,924662,1,0,20,20,0,1,0,1,0.0,20.0,20.0,0.0,False
166837,930242,4,1,69,45,0,4,0,3,0.25,15.0,17.25,0.0,False
166837,945710,1,0,17,17,0,1,0,1,0.0,17.0,17.0,0.0,False
166839,894614,8,1,115,85,0,8,0,7,0.125,12.142857142857142,14.375,0.0,False
166839,902720,105,0,1703,1703,2617,2722,16,105,0.0,16.21904761904762,16.21904761904762,0.005878030859662013,True
166843,895140,4,0,152,152,0,4,0,4,0.0,38.0,38.0,0.0,False
166843,895172,9,0,105,105,86,95,3,9,0.0,11.666666666666666,11.666666666666666,0.031578947368421054,True
166843,913474,2,0,74,74,11,13,0,2,0.0,37.0,37.0,0.0,True
166843,913868,19,0,48,48,25,44,14,19,0.0,2.526315789473684,2.526315789473684,0.3181818181818182,True
166843,926312,10,0,135,135,130,140,1,10,0.0,13.5,13.5,0.007142857142857143,True
166874,893700,0,0,0,0,8,8,0,0,,,,0.0,True
166874,895598,3,0,18,18,2,5,0,3,0.0,6.0,6.0,0.0,True
166879,896536,208,2,4366,4326,0,208,5,206,0.009615384615384616,21.0,20.990384615384617,0.02403846153846154,False
166879,896538,14,1,665,623,0,14,0,13,0.07142857142857142,47.92307692307692,47.5,0.0,False
166879,903512,28,0,1190,1190,0,28,3,28,0.0,42.5,42.5,0.10714285714285714,False
166879,927070,42,0,1848,1848,0,42,0,42,0.0,44.0,44.0,0.0,False
166884,895774,13,0,142,142,118,131,0,13,0.0,10.923076923076923,10.923076923076923,0.0,True
166884,895776,12,1,175,161,252,264,1,11,0.08333333333333333,14.636363636363637,14.583333333333334,0.003787878787878788,True
166884,917890,0,0,0,0,2,2,0,0,,,,0.0,True
166896,895574,99,3,1505,1482,0,99,0,96,0.030303030303030304,15.4375,15.202020202020202,0.0,False
166896,895576,80,1,1413,1390,0,80,0,79,0.0125,17.59493670886076,17.6625,0.0,False
166896,895578,64,0,935,935,0,64,0,64,0.0,14.609375,14.609375,0.0,False
166899,894656,20,0,483,483,3396,3416,0,20,0.0,24.15,24.15,0.0,True
166899,894662,1,0,9,9,48,49,3,1,0.0,9.0,9.0,0.061224489795918366,True
166901,896008,0,0,0,0,202,202,202,0,,,,1.0,True
166901,896010,10,0,186,186,5,15,2,10,0.0,18.6,18.6,0.13333333333333333,True
166901,896012,270,1,1611,1605,0,270,0,269,0.003703703703703704,5.966542750929368,5.966666666666667,0.0,False
166901,896014,19,0,274,274,9,28,2,19,0.0,14.421052631578947,14.421052631578947,0.07142857142857142,True
166901,896016,83,0,636,636,294,377,87,83,0.0,7.662650602409639,7.662650602409639,0.23076923076923078,True
166901,896018,9,0,247,247,11,20,8,9,0.0,27.444444444444443,27.444444444444443,0.4,True
166901,896020,16,0,15,15,0,16,0,16,0.0,0.9375,0.9375,0.0,False
166908,895782,14,0,286,286,0,14,0,14,0.0,20.428571428571427,20.428571428571427,0.0,False
166908,895786,46,0,1017,1017,0,46,0,46,0.0,22.108695652173914,22.108695652173914,0.0,False
166916,906392,19,7,255,149,61,80,57,12,0.3684210526315789,12.416666666666666,13.421052631578947,0.7125,True
166916,906394,41,0,1204,1204,575,616,466,41,0.0,29.365853658536587,29.365853658536587,0.7564935064935064,True
166916,906396,129,3,3909,3739,440,569,333,126,0.023255813953488372,29.674603174603174,30.302325581395348,0.5852372583479789,True
166916,906398,64,0,1587,1587,43,107,36,64,0.0,24.796875,24.796875,0.3364485981308411,True
166916,906400,144,5,4120,3979,462,606,272,139,0.034722222222222224,28.62589928057554,28.61111111111111,0.44884488448844884,True
166916,906402,7,0,324,324,17,24,9,7,0.0,46.285714285714285,46.285714285714285,0.375,True
166916,906404,599,7,16571,16330,673,1272,116,592,0.011686143572621035,27.58445945945946,27.664440734557594,0.09119496855345911,True
166916,906406,836,3,22540,22456,1213,2049,318,833,0.0035885167464114833,26.95798319327731,26.961722488038276,0.15519765739385066,True
166916,906408,264,4,7586,7361,106,370,93,260,0.015151515151515152,28.31153846153846,28.734848484848484,0.25135135135135134,True
166916,906410,244,9,6300,6064,21,265,3,235,0.036885245901639344,25.804255319148936,25.81967213114754,0.011320754716981131,True
166916,906412,26,7,400,260,328,354,265,19,0.2692307692307692,13.68421052631579,15.384615384615385,0.748587570621469,True
166916,906416,6,0,98,98,82,88,68,6,0.0,16.333333333333332,16.333333333333332,0.7727272727272727,True
166916,906418,5,0,73,73,4,9,3,5,0.0,14.6,14.6,0.3333333333333333,True
166916,906420,5,0,55,55,33,38,29,5,0.0,11.0,11.0,0.7631578947368421,True
166916,928282,0,0,0,0,2,2,2,0,,,,1.0,True
166916,928284,0,0,0,0,2,2,2,0,,,,1.0,True
166936,896428,38,0,293,293,221,259,2,38,0.0,7.7105263157894735,7.7105263157894735,0.007722007722007722,True
166936,896430,1,0,13,13,18,19,0,1,0.0,13.0,13.0,0.0,True
166939,951332,9,0,279,279,5,14,4,9,0.0,31.0,31.0,0.2857142857142857,True
166939,954750,223,1,4878,4853,73,296,26,222,0.004484304932735426,21.86036036036036,21.87443946188341,0.08783783783783784,True
166939,955068,0,0,0,0,2,2,2,0,,,,1.0,True
166939,955082,0,0,0,0,14,14,14,0,,,,1.0,True
166939,955086,0,0,0,0,1,1,1,0,,,,1.0,True
166939,955090,0,0,0,0,28,28,28,0,,,,1.0,True
166939,955094,0,0,0,0,2,2,1,0,,,,0.5,True
166940,897030,6,0,76,76,76,82,2,6,0.0,12.666666666666666,12.666666666666666,0.024390243902439025,True
166940,900458,1,0,9,9,28,29,0,1,0.0,9.0,9.0,0.0,True
166940,910594,0,0,0,0,28,28,0,0,,,,0.0,True
166940,972460,2,0,8,8,68,70,3,2,0.0,4.0,4.0,0.04285714285714286,True
166941,896382,41,0,505,505,396,437,4,41,0.0,12.317073170731707,12.317073170731707,0.009153318077803204,True
166941,896384,0,0,0,0,30,30,0,0,,,,0.0,True
166941,896386,0,0,0,0,76,76,0,0,,,,0.0,True
166941,896390,0,0,0,0,97,97,0,0,,,,0.0,True
166941,896708,66,0,792,792,174,240,0,66,0.0,12.0,12.0,0.0,True
166946,900742,24,0,318,318,18,42,5,24,0.0,13.25,13.25,0.11904761904761904,True
